Generation	Treatment	Rep	Stage.x	Number.x	Length.x	Weight.x	Stage.y	Number.y	Length.y	Weight.y	weight.diff	Beak	Dev.diff	Growth.Rate
0	1	1	C6F	3	0.858	7.097218649	C1	3	0.381	0.609524156	6.487694493	3	10.49671053	0.618069297
0	1	1	C6F	3	0.858	7.097218649	C1	4	0.295	0.26979824	6.827420408	1	9.920168067	0.688236365
0	1	1	C6F	3	0.858	7.097218649	C1	4	0.295	0.26979824	6.827420408	2	9.5	0.718675832
0	1	1	C6F	3	0.858	7.097218649	C1	4	0.295	0.26979824	6.827420408	3	10.49671053	0.650434285
0	1	1	C6F	3	0.858	7.097218649	C1	5	0.264	0.18942004	6.907798608	1	9.920168067	0.696338869
0	1	1	C6F	3	0.858	7.097218649	C1	5	0.264	0.18942004	6.907798608	2	9.5	0.727136696
0	1	1	C6F	3	0.858	7.097218649	C1	5	0.264	0.18942004	6.907798608	3	10.49671053	0.658091751
0	1	1	C6F	3	0.858	7.097218649	C1	6	0.293	0.264014026	6.833204623	1	9.920168067	0.688819441
0	1	1	C6F	3	0.858	7.097218649	C1	6	0.293	0.264014026	6.833204623	2	9.5	0.719284697
0	1	1	C6F	3	0.858	7.097218649	C1	6	0.293	0.264014026	6.833204623	3	10.49671053	0.650985335
0	1	1	C6F	3	0.858	7.097218649	C1	7	0.277	0.220765997	6.876452652	1	9.920168067	0.693179048
0	1	1	C6F	3	0.858	7.097218649	C1	7	0.277	0.220765997	6.876452652	2	9.5	0.723837121
0	1	1	C6F	3	0.858	7.097218649	C1	7	0.277	0.220765997	6.876452652	3	10.49671053	0.655105486
0	1	1	C6F	3	0.858	7.097218649	C1	8	0.33	0.385622036	6.711596612	1	9.920168067	0.676560777
0	1	1	C6F	3	0.858	7.097218649	C1	8	0.33	0.385622036	6.711596612	2	9.5	0.706483854
0	1	1	C6F	3	0.858	7.097218649	C1	8	0.33	0.385622036	6.711596612	3	10.49671053	0.63939999
0	1	1	C6F	3	0.858	7.097218649	C1	9	0.329	0.381911579	6.71530707	1	9.920168067	0.676934808
0	1	1	C6F	3	0.858	7.097218649	C1	9	0.329	0.381911579	6.71530707	2	9.5	0.706874428
0	1	1	C6F	3	0.858	7.097218649	C1	9	0.329	0.381911579	6.71530707	3	10.49671053	0.639753478
0	1	1	C6F	4	0.816	5.915846811	C1	1	0.325	0.367314562	5.548532249	1	9.920168067	0.559318372
0	1	1	C6F	4	0.816	5.915846811	C1	1	0.325	0.367314562	5.548532249	2	9.5	0.584056026
0	1	1	C6F	4	0.816	5.915846811	C1	1	0.325	0.367314562	5.548532249	3	10.49671053	0.528597243
0	1	1	C6F	4	0.816	5.915846811	C1	10	0.272	0.208319416	5.707527395	1	9.920168067	0.575345837
0	1	1	C6F	4	0.816	5.915846811	C1	10	0.272	0.208319416	5.707527395	2	9.5	0.600792357
0	1	1	C6F	4	0.816	5.915846811	C1	10	0.272	0.208319416	5.707527395	3	10.49671053	0.543744383
0	1	1	C6F	4	0.816	5.915846811	C1	11	0.329	0.381911579	5.533935232	1	9.920168067	0.557846923
0	1	1	C6F	4	0.816	5.915846811	C1	11	0.329	0.381911579	5.533935232	2	9.5	0.582519498
0	1	1	C6F	4	0.816	5.915846811	C1	11	0.329	0.381911579	5.533935232	3	10.49671053	0.527206615
0	1	1	C6F	4	0.816	5.915846811	C1	2	0.352	0.473648048	5.442198763	1	9.920168067	0.548599452
0	1	1	C6F	4	0.816	5.915846811	C1	2	0.352	0.473648048	5.442198763	2	9.5	0.572863028
0	1	1	C6F	4	0.816	5.915846811	C1	2	0.352	0.473648048	5.442198763	3	10.49671053	0.518467071
0	1	1	C6F	4	0.816	5.915846811	C1	3	0.381	0.609524156	5.306322655	1	9.920168067	0.534902496
0	1	1	C6F	4	0.816	5.915846811	C1	3	0.381	0.609524156	5.306322655	2	9.5	0.558560279
0	1	1	C6F	4	0.816	5.915846811	C1	3	0.381	0.609524156	5.306322655	3	10.49671053	0.505522434
0	1	1	C6F	4	0.816	5.915846811	C1	4	0.295	0.26979824	5.64604857	1	9.920168067	0.569148479
0	1	1	C6F	4	0.816	5.915846811	C1	4	0.295	0.26979824	5.64604857	2	9.5	0.594320902
0	1	1	C6F	4	0.816	5.915846811	C1	4	0.295	0.26979824	5.64604857	3	10.49671053	0.537887422
0	1	1	C6F	4	0.816	5.915846811	C1	5	0.264	0.18942004	5.72642677	1	9.920168067	0.577250983
0	1	1	C6F	4	0.816	5.915846811	C1	5	0.264	0.18942004	5.72642677	2	9.5	0.602781765
0	1	1	C6F	4	0.816	5.915846811	C1	5	0.264	0.18942004	5.72642677	3	10.49671053	0.545544888
0	1	1	C6F	4	0.816	5.915846811	C1	6	0.293	0.264014026	5.651832785	1	9.920168067	0.569731556
0	1	1	C6F	4	0.816	5.915846811	C1	6	0.293	0.264014026	5.651832785	2	9.5	0.594929767
0	1	1	C6F	4	0.816	5.915846811	C1	6	0.293	0.264014026	5.651832785	3	10.49671053	0.538438473
0	1	1	C6F	4	0.816	5.915846811	C1	7	0.277	0.220765997	5.695080814	1	9.920168067	0.574091162
0	1	1	C6F	4	0.816	5.915846811	C1	7	0.277	0.220765997	5.695080814	2	9.5	0.599482191
0	1	1	C6F	4	0.816	5.915846811	C1	7	0.277	0.220765997	5.695080814	3	10.49671053	0.542558623
0	1	1	C6F	4	0.816	5.915846811	C1	8	0.33	0.385622036	5.530224774	1	9.920168067	0.557472891
0	1	1	C6F	4	0.816	5.915846811	C1	8	0.33	0.385622036	5.530224774	2	9.5	0.582128924
0	1	1	C6F	4	0.816	5.915846811	C1	8	0.33	0.385622036	5.530224774	3	10.49671053	0.526853128
0	1	1	C6F	4	0.816	5.915846811	C1	9	0.329	0.381911579	5.533935232	1	9.920168067	0.557846923
0	1	1	C6F	4	0.816	5.915846811	C1	9	0.329	0.381911579	5.533935232	2	9.5	0.582519498
0	1	1	C6F	4	0.816	5.915846811	C1	9	0.329	0.381911579	5.533935232	3	10.49671053	0.527206615
0	1	1	C6F	5	0.783	5.093072609	C1	1	0.325	0.367314562	4.725758047	1	9.920168067	0.476378829
0	1	1	C6F	5	0.783	5.093072609	C1	1	0.325	0.367314562	4.725758047	2	9.5	0.497448215
0	1	1	C6F	5	0.783	5.093072609	C1	1	0.325	0.367314562	4.725758047	3	10.49671053	0.450213239
0	1	1	C6F	5	0.783	5.093072609	C1	10	0.272	0.208319416	4.884753193	1	9.920168067	0.492406294
0	1	1	C6F	5	0.783	5.093072609	C1	10	0.272	0.208319416	4.884753193	2	9.5	0.514184547
0	1	1	C6F	5	0.783	5.093072609	C1	10	0.272	0.208319416	4.884753193	3	10.49671053	0.465360379
0	1	1	C6F	5	0.783	5.093072609	C1	11	0.329	0.381911579	4.71116103	1	9.920168067	0.47490738
0	1	1	C6F	5	0.783	5.093072609	C1	11	0.329	0.381911579	4.71116103	2	9.5	0.495911687
0	1	1	C6F	5	0.783	5.093072609	C1	11	0.329	0.381911579	4.71116103	3	10.49671053	0.448822611
0	1	1	C6F	5	0.783	5.093072609	C1	2	0.352	0.473648048	4.619424561	1	9.920168067	0.465659909
0	1	1	C6F	5	0.783	5.093072609	C1	2	0.352	0.473648048	4.619424561	2	9.5	0.486255217
0	1	1	C6F	5	0.783	5.093072609	C1	2	0.352	0.473648048	4.619424561	3	10.49671053	0.440083067
0	1	1	C6F	5	0.783	5.093072609	C1	3	0.381	0.609524156	4.483548453	1	9.920168067	0.451962953
0	1	1	C6F	5	0.783	5.093072609	C1	3	0.381	0.609524156	4.483548453	2	9.5	0.471952469
0	1	1	C6F	5	0.783	5.093072609	C1	3	0.381	0.609524156	4.483548453	3	10.49671053	0.42713843
0	1	1	C6F	5	0.783	5.093072609	C1	4	0.295	0.26979824	4.823274368	1	9.920168067	0.486208937
0	1	1	C6F	5	0.783	5.093072609	C1	4	0.295	0.26979824	4.823274368	2	9.5	0.507713091
0	1	1	C6F	5	0.783	5.093072609	C1	4	0.295	0.26979824	4.823274368	3	10.49671053	0.459503418
0	1	1	C6F	5	0.783	5.093072609	C1	5	0.264	0.18942004	4.903652568	1	9.920168067	0.494311441
0	1	1	C6F	5	0.783	5.093072609	C1	5	0.264	0.18942004	4.903652568	2	9.5	0.516173955
0	1	1	C6F	5	0.783	5.093072609	C1	5	0.264	0.18942004	4.903652568	3	10.49671053	0.467160884
0	1	1	C6F	5	0.783	5.093072609	C1	6	0.293	0.264014026	4.829058583	1	9.920168067	0.486792013
0	1	1	C6F	5	0.783	5.093072609	C1	6	0.293	0.264014026	4.829058583	2	9.5	0.508321956
0	1	1	C6F	5	0.783	5.093072609	C1	6	0.293	0.264014026	4.829058583	3	10.49671053	0.460054468
0	1	1	C6F	5	0.783	5.093072609	C1	7	0.277	0.220765997	4.872306612	1	9.920168067	0.49115162
0	1	1	C6F	5	0.783	5.093072609	C1	7	0.277	0.220765997	4.872306612	2	9.5	0.51287438
0	1	1	C6F	5	0.783	5.093072609	C1	7	0.277	0.220765997	4.872306612	3	10.49671053	0.464174619
0	1	1	C6F	5	0.783	5.093072609	C1	8	0.33	0.385622036	4.707450572	1	9.920168067	0.474533349
0	1	1	C6F	5	0.783	5.093072609	C1	8	0.33	0.385622036	4.707450572	2	9.5	0.495521113
0	1	1	C6F	5	0.783	5.093072609	C1	8	0.33	0.385622036	4.707450572	3	10.49671053	0.448469124
0	1	1	C6F	5	0.783	5.093072609	C1	9	0.329	0.381911579	4.71116103	1	9.920168067	0.47490738
0	1	1	C6F	5	0.783	5.093072609	C1	9	0.329	0.381911579	4.71116103	2	9.5	0.495911687
0	1	1	C6F	5	0.783	5.093072609	C1	9	0.329	0.381911579	4.71116103	3	10.49671053	0.448822611
0	1	1	C6F	6	0.858	7.097218649	C1	1	0.325	0.367314562	6.729904087	1	9.920168067	0.678406257
0	1	1	C6F	6	0.858	7.097218649	C1	1	0.325	0.367314562	6.729904087	2	9.5	0.708410957
0	1	1	C6F	6	0.858	7.097218649	C1	1	0.325	0.367314562	6.729904087	3	10.49671053	0.641144106
0	1	1	C6F	6	0.858	7.097218649	C1	10	0.272	0.208319416	6.888899233	1	9.920168067	0.694433722
0	1	1	C6F	6	0.858	7.097218649	C1	10	0.272	0.208319416	6.888899233	2	9.5	0.725147288
0	1	1	C6F	6	0.858	7.097218649	C1	10	0.272	0.208319416	6.888899233	3	10.49671053	0.656291246
0	1	1	C6F	6	0.858	7.097218649	C1	11	0.329	0.381911579	6.71530707	1	9.920168067	0.676934808
0	1	1	C6F	6	0.858	7.097218649	C1	11	0.329	0.381911579	6.71530707	2	9.5	0.706874428
0	1	1	C6F	6	0.858	7.097218649	C1	11	0.329	0.381911579	6.71530707	3	10.49671053	0.639753478
0	1	1	C6F	6	0.858	7.097218649	C1	2	0.352	0.473648048	6.623570601	1	9.920168067	0.667687337
0	1	1	C6F	6	0.858	7.097218649	C1	2	0.352	0.473648048	6.623570601	2	9.5	0.697217958
0	1	1	C6F	6	0.858	7.097218649	C1	2	0.352	0.473648048	6.623570601	3	10.49671053	0.631013934
0	1	1	C6F	6	0.858	7.097218649	C1	3	0.381	0.609524156	6.487694493	1	9.920168067	0.653990381
0	1	1	C6F	6	0.858	7.097218649	C1	3	0.381	0.609524156	6.487694493	2	9.5	0.68291521
0	1	1	C6F	6	0.858	7.097218649	C1	3	0.381	0.609524156	6.487694493	3	10.49671053	0.618069297
0	1	1	C6F	6	0.858	7.097218649	C1	4	0.295	0.26979824	6.827420408	1	9.920168067	0.688236365
0	1	1	C6F	6	0.858	7.097218649	C1	4	0.295	0.26979824	6.827420408	2	9.5	0.718675832
0	1	1	C6F	6	0.858	7.097218649	C1	4	0.295	0.26979824	6.827420408	3	10.49671053	0.650434285
0	1	1	C6F	6	0.858	7.097218649	C1	5	0.264	0.18942004	6.907798608	1	9.920168067	0.696338869
0	1	1	C6F	6	0.858	7.097218649	C1	5	0.264	0.18942004	6.907798608	2	9.5	0.727136696
0	1	1	C6F	6	0.858	7.097218649	C1	5	0.264	0.18942004	6.907798608	3	10.49671053	0.658091751
0	1	1	C6F	6	0.858	7.097218649	C1	6	0.293	0.264014026	6.833204623	1	9.920168067	0.688819441
0	1	1	C6F	6	0.858	7.097218649	C1	6	0.293	0.264014026	6.833204623	2	9.5	0.719284697
0	1	1	C6F	6	0.858	7.097218649	C1	6	0.293	0.264014026	6.833204623	3	10.49671053	0.650985335
0	1	1	C6F	6	0.858	7.097218649	C1	7	0.277	0.220765997	6.876452652	1	9.920168067	0.693179048
0	1	1	C6F	6	0.858	7.097218649	C1	7	0.277	0.220765997	6.876452652	2	9.5	0.723837121
0	1	1	C6F	6	0.858	7.097218649	C1	7	0.277	0.220765997	6.876452652	3	10.49671053	0.655105486
0	1	1	C6F	6	0.858	7.097218649	C1	8	0.33	0.385622036	6.711596612	1	9.920168067	0.676560777
0	1	1	C6F	6	0.858	7.097218649	C1	8	0.33	0.385622036	6.711596612	2	9.5	0.706483854
0	1	1	C6F	6	0.858	7.097218649	C1	8	0.33	0.385622036	6.711596612	3	10.49671053	0.63939999
0	1	1	C6F	6	0.858	7.097218649	C1	9	0.329	0.381911579	6.71530707	1	9.920168067	0.676934808
0	1	1	C6F	6	0.858	7.097218649	C1	9	0.329	0.381911579	6.71530707	2	9.5	0.706874428
0	1	1	C6F	6	0.858	7.097218649	C1	9	0.329	0.381911579	6.71530707	3	10.49671053	0.639753478
0	1	1	C6F	7	0.791	5.284388164	C1	1	0.325	0.367314562	4.917073603	1	9.920168067	0.495664345
0	1	1	C6F	7	0.791	5.284388164	C1	1	0.325	0.367314562	4.917073603	2	9.5	0.517586695
0	1	1	C6F	7	0.791	5.284388164	C1	1	0.325	0.367314562	4.917073603	3	10.49671053	0.468439478
0	1	1	C6F	7	0.791	5.284388164	C1	10	0.272	0.208319416	5.076068749	1	9.920168067	0.511691809
0	1	1	C6F	7	0.791	5.284388164	C1	10	0.272	0.208319416	5.076068749	2	9.5	0.534323026
0	1	1	C6F	7	0.791	5.284388164	C1	10	0.272	0.208319416	5.076068749	3	10.49671053	0.483586618
0	1	1	C6F	7	0.791	5.284388164	C1	11	0.329	0.381911579	4.902476585	1	9.920168067	0.494192896
